Date Time,Traffic Total (Volume)
2024-02-15 13:23:00,
2024-02-15 13:24:00,
2024-02-15 13:25:00,
2024-02-15 13:26:00,
2024-02-15 13:27:00,
2024-02-15 13:28:00,
2024-02-15 13:29:00,
2024-02-15 13:30:00,
2024-02-15 13:31:00,
2024-02-15 13:32:00,
2024-02-15 13:33:00,
2024-02-15 13:34:00,
2024-02-15 13:35:00,
2024-02-15 13:36:00,
2024-02-15 13:37:00,
2024-02-15 13:38:00,
2024-02-15 13:39:00,
2024-02-15 13:40:00,
2024-02-15 13:41:00,
2024-02-15 13:42:00,
2024-02-15 13:43:00,
2024-02-15 13:44:00,
2024-02-15 13:45:00,
2024-02-15 13:46:00,
2024-02-15 13:47:00,
2024-02-15 13:48:00,
2024-02-15 13:49:00,
2024-02-15 13:50:00,
2024-02-15 13:51:00,
2024-02-15 13:52:00,
2024-02-15 13:53:00,
2024-02-15 13:54:00,
2024-02-15 13:55:00,
2024-02-15 13:56:00,
2024-02-15 13:57:00,
2024-02-15 13:58:00,
2024-02-15 13:59:00,
2024-02-15 14:00:00,
2024-02-15 14:01:00,
2024-02-15 14:02:00,
2024-02-15 14:03:00,
2024-02-15 14:04:00,
2024-02-15 14:05:00,
2024-02-15 14:06:00,
2024-02-15 14:07:00,
2024-02-15 14:08:00,
2024-02-15 14:09:00,
2024-02-15 14:10:00,
2024-02-15 14:11:00,
2024-02-15 14:12:00,
2024-02-15 14:13:00,
2024-02-15 14:14:00,
2024-02-15 14:15:00,
2024-02-15 14:16:00,
2024-02-15 14:17:00,
2024-02-15 14:18:00,
2024-02-15 14:19:00,
2024-02-15 14:20:00,
2024-02-15 14:21:00,
2024-02-15 14:22:00,
2024-02-15 14:23:00,
2024-02-15 14:24:00,
2024-02-15 14:25:00,
2024-02-15 14:26:00,
2024-02-15 14:27:00,
2024-02-15 14:28:00,
2024-02-15 14:29:00,
2024-02-15 14:30:00,
2024-02-15 14:31:00,
2024-02-15 14:32:00,
